year,city,state,lat,long,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime
1975,Chicago,IL,41.850033,-87.6500523,3150000,818,1657,22171,12514,37160
1975,Los Angeles,CA,34.0522342,-118.2436849,2729878,554,1768,14590,13493,30405
1975,Miami,FL,25.7742658,-80.1936589,350742,98,178,2657,3280,6213
1975,New York,NY,40.76149276,-73.98143112,7422506,1645,3866,83190,43481,132182
1975,Seattle,WA,47.6062095,-122.3320708,503500,52,324,2103,1492,3971
1975,National,,,,14156626,3167,7793,124711,74260,209931
1976,Chicago,IL,41.850033,-87.6500523,3134499,814,1179,17577,11070,30640
1976,Los Angeles,CA,34.0522342,-118.2436849,2739100,501,2047,14225,15187,31960
1976,Miami,FL,25.7742658,-80.1936589,338721,84,145,2313,2630,5172
1976,New York,NY,40.76149276,-73.98143112,7530493,1622,3400,86183,42948,134153
1976,Seattle,WA,47.6062095,-122.3320708,503500,42,322,2163,1601,4128
1976,National,,,,14246313,3063,7093,122461,73436,206053
1977,Chicago,IL,41.850033,-87.6500523,3086806,823,1227,16512,10311,28873
1977,Los Angeles,CA,34.0522342,-118.2436849,2785393,576,2339,15246,15515,33676
1977,Miami,FL,25.7742658,-80.1936589,333713,84,178,2447,2637,5346
1977,New York,NY,40.76149276,-73.98143112,7481613,1557,3899,74404,42056,121916
1977,Seattle,WA,47.6062095,-122.3320708,500000,35,370,1764,1987,4156
1977,National,,,,14187525,3075,8013,110373,72506,193967
1978,Chicago,IL,41.850033,-87.6500523,3086699,787,1341,15233,10325,27686
1978,Los Angeles,CA,34.0522342,-118.2436849,2787525,651,2467,17105,16574,36797
1978,Miami,FL,25.7742658,-80.1936589,330060,96,207,2832,3137,6272
1978,New York,NY,40.76149276,-73.98143112,7242886,1503,3882,74029,43271,122685
1978,Seattle,WA,47.6062095,-122.3320708,489961,54,360,2257,2229,4900
1978,National,,,,13937131,3091,8257,111456,75536,198340
1979,Chicago,IL,41.850033,-87.6500523,3060801,856,1655,14464,10832,27807
1979,Los Angeles,CA,34.0522342,-118.2436849,2863412,786,2508,20454,19624,43372
1979,Miami,FL,25.7742658,-80.1936589,362840,134,261,3390,3040,6825
1979,New York,NY,40.76149276,-73.98143112,7109420,1733,3875,82572,44203,132383
1979,Seattle,WA,47.6062095,-122.3320708,521590,37,421,2071,2328,4857
1979,National,,,,13918063,3546,8720,122951,80027,215244
1980,Chicago,IL,41.850033,-87.6500523,2986419,863,1329,16261,10205,28658
1980,Los Angeles,CA,34.0522342,-118.2436849,2952511,1010,2813,25637,21987,51447
1980,Miami,FL,25.7742658,-80.1936589,335718,220,325,6890,4039,11474
1980,New York,NY,40.76149276,-73.98143112,7035348,1812,3711,100550,43476,149549
1980,Seattle,WA,47.6062095,-122.3320708,491897,63,512,2253,2373,5201
1980,National,,,,13801893,3968,8690,151591,82080,246329
1981,Chicago,IL,41.850033,-87.6500523,3012703,877,1255,16118,7359,25609
1981,Los Angeles,CA,34.0522342,-118.2436849,3031090,879,2666,28152,21121,52818
1981,Miami,FL,25.7742658,-80.1936589,356734,210,382,6196,4423,11211
1981,New York,NY,40.76149276,-73.98143112,7070429,1826,3862,107475,43783,156946
1981,Seattle,WA,47.6062095,-122.3320708,503697,59,485,2344,2526,5414
1981,National,,,,13974653,3851,8650,160285,79212,251998
1982,Chicago,IL,41.850033,-87.6500523,3010862,668,1112,16307,8317,26404
1982,Los Angeles,CA,34.0522342,-118.2436849,3101979,849,2706,30029,20373,53957
1982,Miami,FL,25.7742658,-80.1936589,365506,190,349,5123,4301,9963
1982,New York,NY,40.76149276,-73.98143112,7096559,1668,3547,95944,42784,143943
1982,Seattle,WA,47.6062095,-122.3320708,507643,31,435,2271,2383,5120
1982,National,,,,14082549,3406,8149,149674,78158,239387
1983,Chicago,IL,41.850033,-87.6500523,3021203,729,2246,23471,13330,39776
1983,Los Angeles,CA,34.0522342,-118.2436849,3158688,820,2494,29243,20878,53435
1983,Miami,FL,25.7742658,-80.1936589,374769,144,365,4719,4556,9784
1983,New York,NY,40.76149276,-73.98143112,7100063,1622,3662,84043,43326,132653
1983,Seattle,WA,47.6062095,-122.3320708,514319,61,434,2032,2291,4818
1983,National,,,,14169042,3376,9201,143508,84381,240466
1984,Chicago,IL,41.850033,-87.6500523,3012524,741,2883,28535,28420,60579
1984,Los Angeles,CA,34.0522342,-118.2436849,3144256,759,2347,27323,21013,51442
1984,Miami,FL,25.7742658,-80.1936589,400646,170,273,5705,4780,10928
1984,New York,NY,40.76149276,-73.98143112,7167121,1450,3829,79541,47472,132292
1984,Seattle,WA,47.6062095,-122.3320708,497598,50,448,2386,2669,5553
1984,National,,,,14222145,3170,9780,143490,104354,260794
1985,Chicago,IL,41.850033,-87.6500523,2998841,666,3357,26892,29096,60011
1985,Los Angeles,CA,34.0522342,-118.2436849,3186459,777,2318,27938,21799,52832
1985,Miami,FL,25.7742658,-80.1936589,385892,131,284,5768,5003,11186
1985,New York,NY,40.76149276,-73.98143112,7183984,1384,3880,79532,50356,135152
1985,Seattle,WA,47.6062095,-122.3320708,495190,61,441,2843,3178,6523
1985,National,,,,14250366,3019,10280,142973,109432,265704
1986,Chicago,IL,41.850033,-87.6500523,3003105,754,3708,30918,33529,68909
1986,Los Angeles,CA,34.0522342,-118.2436849,3260856,834,2330,29930,33284,66378
1986,Miami,FL,25.7742658,-80.1936589,396374,148,221,5767,5540,11676
1986,New York,NY,40.76149276,-73.98143112,7179609,1582,3536,80827,57306,143251
1986,Seattle,WA,47.6062095,-122.3320708,501279,50,443,2792,3505,6790
1986,National,,,,14341223,3368,10238,150234,133164,297004
1987,Chicago,IL,41.850033,-87.6500523,3018338,689,3692,29815,34172,68368
1987,Los Angeles,CA,34.0522342,-118.2436849,3341726,811,2169,26192,34661,63833
1987,Miami,FL,25.7742658,-80.1936589,385089,128,202,5594,5385,11309
1987,New York,NY,40.76149276,-73.98143112,7284319,1672,3507,78890,64244,148313
1987,Seattle,WA,47.6062095,-122.3320708,494426,54,465,2959,3618,7096
1987,National,,,,14523898,3354,10035,143450,142080,298919
1988,Chicago,IL,41.850033,-87.6500523,2994100,660,3695,28975,35988,69318
1988,Los Angeles,CA,34.0522342,-118.2436849,3402342,736,2006,26182,37812,66736
1988,Miami,FL,25.7742658,-80.1936589,389720,146,411,6398,6006,12961
1988,New York,NY,40.76149276,-73.98143112,7346352,1896,3412,86578,71030,162916
1988,Seattle,WA,47.6062095,-122.3320708,505380,56,439,2709,3675,6879
1988,National,,,,14637894,3494,9963,150842,154511,318810
1989,Chicago,IL,41.850033,-87.6500523,2988260,742,3645,31588,37615,73590
1989,Los Angeles,CA,34.0522342,-118.2436849,3441449,877,1996,31063,43361,77297
1989,Miami,FL,25.7742658,-80.1936589,381206,132,285,7289,6387,14093
1989,New York,NY,40.76149276,-73.98143112,7369454,1905,3254,93377,70951,169487
1989,Seattle,WA,47.6062095,-122.3320708,514398,38,478,2448,3914,6878
1989,National,,,,14694767,3694,9658,165765,162228,341345
1990,Chicago,IL,41.850033,-87.6500523,2783726,851,3607,37156,41114,82728
1990,Los Angeles,CA,34.0522342,-118.2436849,3485398,983,2014,36098,44714,83809
1990,Miami,FL,25.7742658,-80.1936589,358548,129,299,8172,7007,15607
1990,New York,NY,40.76149276,-73.98143112,7322564,2245,3126,100280,68891,174542
1990,Seattle,WA,47.6062095,-122.3320708,516259,53,481,2695,4551,7780
1990,National,,,,14466495,4261,9527,184401,166277,364466
1991,Chicago,IL,41.850033,-87.6500523,2811478,925,3575,43783,42237,90520
1991,Los Angeles,CA,34.0522342,-118.2436849,3558316,1027,1966,39778,47104,89875
1991,Miami,FL,25.7742658,-80.1936589,367945,125,236,8477,6582,15420
1991,New York,NY,40.76149276,-73.98143112,7350023,2154,2892,98512,66832,170390
1991,Seattle,WA,47.6062095,-122.3320708,532418,43,398,2761,4019,7221
1991,National,,,,14620180,4274,9067,193311,166774,373426
1992,Chicago,IL,41.850033,-87.6500523,2832901,960,3754,38448,41080,84242
1992,Los Angeles,CA,34.0522342,-118.2436849,3615355,1094,1872,39508,46445,88919
1992,Miami,FL,25.7742658,-80.1936589,373791,128,272,7065,6480,13945
1992,New York,NY,40.76149276,-73.98143112,7375097,1995,2815,91239,63529,159578
1992,Seattle,WA,47.6062095,-122.3320708,544940,60,353,2577,4337,7327
1992,National,,,,14742084,4237,9066,178837,161871,354011
1993,Chicago,IL,41.850033,-87.6500523,2788996,862,3379,35189,39753,79183
1993,Los Angeles,CA,34.0522342,-118.2436849,3525317,1076,1773,38415,42437,83701
1993,Miami,FL,25.7742658,-80.1936589,372519,127,204,7082,7089,14502
1993,New York,NY,40.76149276,-73.98143112,7347257,1946,2818,86001,62778,153543
1993,Seattle,WA,47.6062095,-122.3320708,531274,67,356,2670,4344,7437
1993,National,,,,14565363,4078,8530,169357,156401,338366
1994,Chicago,IL,41.850033,-87.6500523,2802494,938,3048,33925,40380,78291
1994,Los Angeles,CA,34.0522342,-118.2436849,3550381,845,1554,30817,39886,73102
1994,Miami,FL,25.7742658,-80.1936589,379980,116,221,5841,6793,12971
1994,New York,NY,40.76149276,-73.98143112,7336224,1561,2666,72540,59755,136522
1994,Seattle,WA,47.6062095,-122.3320708,540268,69,318,2536,3615,6538
1994,National,,,,14609347,3529,7807,145659,150429,307424
1995,Chicago,IL,41.850033,-87.6500523,2749811,824,2896,30086,39205,73011
1995,Los Angeles,CA,34.0522342,-118.2436849,3466211,849,1590,29134,38945,70518
1995,Miami,FL,25.7742658,-80.1936589,378720,110,198,5676,6943,12927
