year,city,state,lat,long,total_pop,violent_crime,homs_sum,rape_sum,rob_sum,agg_ass_sum
1975,Albuquerque,New Mexico,35.0853336,-106.6055534,286238,2383,30,181,819,1353
1975,Arlington,Texas,32.735687,-97.1080656,112478,278,5,28,113,132
1975,Atlanta,Georgia,33.7489954,-84.3879824,490584,8033,185,443,3887,3518
1975,Aurora,Colorado,39.7294319,-104.8319195,116656,611,7,44,171,389
1975,Aurora,Illinois,41.7605849,-88.3200715,116656,611,7,44,171,389
1975,Austin,Texas,30.267153,-97.7430608,300400,1215,33,190,529,463
1975,Baltimore,Maryland,39.2903848,-76.6121893,864100,16086,259,463,9055,6309
1975,Boston,Massachusetts,42.3600825,-71.0588801,616120,11386,119,453,7778,3036
1975,Buffalo,New York,42.8864468,-78.8783689,422276,3350,63,192,2340,755
1975,Chicago,Illinois,41.8781136,-87.6297982,3150000,37160,818,1657,22171,12514
1975,Cincinnati,Ohio,39.1031182,-84.5120196,433367,3578,64,261,1745,1508
1975,Cleveland,Ohio,41.49932,-81.6943605,659931,10403,288,491,7100,2524
1975,Columbus,Georgia,32.4609764,-84.9877094,572797,3980,62,416,2402,1100
1975,Columbus,Ohio,39.9611755,-82.9987942,572797,3980,62,416,2402,1100
1975,Dallas,Texas,32.7766642,-96.7969879,864665,7655,237,547,3386,3485
1975,Denver,Colorado,39.7392358,-104.990251,508140,4960,74,480,2568,1838
1975,Detroit,Michigan,42.331427,-83.0457538,1432444,30387,633,1424,21317,7013
1975,El Paso,Texas,31.7775757,-106.4424559,369000,1618,21,122,840,635
1975,Fort Worth,Texas,32.7554883,-97.3307658,381275,1939,69,169,1207,494
1975,Fresno,California,36.7468422,-119.7725868,176500,1141,25,84,567,465
1975,Honolulu,Hawaii,21.3069444,-157.8583333,705262,1596,58,169,1050,319
1975,Houston,Texas,29.7604267,-95.3698028,1372342,8924,347,588,6422,1567
1975,Indianapolis,Indiana,39.768403,-86.158068,503411,4655,95,351,3092,1117
1975,Jacksonville,Florida,30.3321838,-81.655651,542792,4579,91,316,1727,2445
1975,Kansas City,Missouri,39.0997265,-94.5785667,489094,6072,114,302,3081,2575
1975,Las Vegas,Nevada,36.1699412,-115.1398296,249186,2594,37,169,1345,1043
1975,Long Beach,California,33.7700504,-118.1937395,340758,3189,54,169,1959,1007
1975,Los Angeles,California,34.0522342,-118.2436849,2729878,30405,554,1768,14590,13493
1975,Louisville,Kentucky,38.2526647,-85.7584557,0,0,0,0,0,0
1975,Memphis,Tennessee,35.1495343,-90.0489801,646483,5429,120,521,2983,1805
1975,Mesa,Arizona,33.4151843,-111.8314724,113176,267,2,22,98,145
1975,Miami,Florida,25.7616798,-80.1917902,350742,6213,98,178,2657,3280
